sample,state,bio,tech,ctrl
1,K,1,1,K
3,K,2,1,K
4,K,2,2,K
6,K,3,2,K
7,XccB100,1,1,K
8,XccB100,1,2,K
9,Pa1393,1,1,K
10,Pa1393,1,2,K
13,Xa1347,1,1,K
14,Xa1347,1,2,K
15,Xa5,1,1,K
16,Xa5,1,2,K
17,Xc102,1,1,K
18,Xc102,1,2,K
19,HRI5212,1,1,K
20,HRI5212,1,2,K
21,Xcc8004,1,1,K
22,Xcc8004,1,2,K
23,Ps1845,1,1,K
24,Ps1845,1,2,K
25,Ps2,1,1,K
26,Ps2,1,2,K
