,1526 mz 73,1932 mz 73,2028 mw 462,2070 mw 408,2098 mz 57,2280 mz 204,2332 mz 71,2348 mz 230,2497 mz 204,2882 mw 658,3012 mw 530,3073 nonacosan-10-ol,33.3989 min MOSS-10,aC16:0,aC18:0,aC18:2,aC18:3,aC20:4,aC24:0,allantoin (3TMS),a-tocopherol,campesterol,diethylcarbamate (1TMS),glucose (aP),myo-inositol,"myo-inositol-1,2-cyclic phosphate",nC22,nC23,phytol,"RI=1005.5,  11.9915 min MOSS-4","RI=1019.0,  12.1606 min MOSS-4","RI=1022.4,  12.2026 min MOSS-4","RI=1049.2,  12.5398 min MOSS-4","RI=1065.2,  12.7399 min MOSS-4","RI=1111.9,  13.3258 min MOSS-4","RI=1231.0,  14.8216 min MOSS-4","RI=1273.9,  15.3600 min MOSS-4","RI=1280.9,  15.4473 min MOSS-4","RI=1284.4,  15.4916 min MOSS-4","RI=1284.7,  15.4949 min MOSS-4","RI=1335.1,  16.1273 min MOSS-4","RI=1343.5,  16.2334 min MOSS-4","RI=1358.0,  16.4147 min MOSS-4","RI=1358.2,  16.4180 min MOSS-4","RI=1396.1,  16.8934 min MOSS-4","RI=1432.4,  17.3489 min MOSS-4","RI=1432.6,  17.3511 min MOSS-4","RI=1443.0,  17.4815 min MOSS-4","RI=1657.5,  20.1735 min MOSS-4","RI=1657.9,  20.1790 min MOSS-4","RI=1723.2,  20.9983 min MOSS-6","RI=1733.0,  21.1210 min MOSS-6","RI=1756.2,  21.4129 min MOSS-6","RI=1780.5,  21.7169 min MOSS-6","RI=1785.5,  21.7799 min MOSS-6","RI=1785.8,  21.7832 min MOSS-6","RI=1822.1,  22.2398 min MOSS-6","RI=1836.6,  22.4211 min MOSS-6","RI=1840.5,  22.4698 min MOSS-6","RI=2019.7,  23.9423 min MOSS-2-14","RI=2401.7,  29.5064 min MOSS-2-13","RI=2470.6,  30.3786 min MOSS-4","RI=2470.9,  30.3820 min MOSS-4","RI=2519.4,  30.9900 min MOSS-4","RI=2540.2,  31.2509 min MOSS-4","RI=2549.0,  31.3615 min MOSS-4","RI=2552.3,  31.4035 min MOSS-4","RI=2554.7,  31.4333 min MOSS-4","RI=2567.3,  31.5914 min MOSS-4","RI=2582.8,  31.8756 min MOSS-2-19","RI=2603.5,  32.0458 min MOSS-4","RI=2622.7,  32.2868 min MOSS-4","RI=2630.1,  32.3796 min MOSS-4","RI=2642.2,  32.5311 min MOSS-4","RI=2650.0,  32.7036 min MOSS-2-19","RI=2669.6,  32.8749 min MOSS-4","RI=2705.4,  33.3769 min MOSS-2-19","RI=2705.9,  33.3835 min MOSS-2-19","RI=2706.5,  33.3901 min MOSS-2-19","RI=697.3,   8.1231 min MOSS-2-23","RI=746.5,   8.7401 min MOSS-4","RI=767.1,   8.9987 min MOSS-2-23","RI=811.9,   9.5615 min MOSS-4","RI=835.7,   9.8600 min MOSS-4","RI=841.2,   9.9285 min MOSS-4","RI=874.6,  10.3487 min MOSS-2-15",S 2810,STD nC23,stigmasterol
19,,,,,,0.829,,0.0103,0.0857,0.0872,0.0795,,11.2,1.53,0.721,,,,,,,0.0902,,0.126,0.844,0.0165,,10,0.0314,0.0504,0.797,0.0112,0.112,0.205,,0.268,0.802,0.813,,,0.00298,0.151,,1.3,,,,,0.49,,,,,0.0246,,,0.0172,0.147,0.0864,,0.0848,,0.0491,,,,0.161,,,,,,,,0.0172,,,,,0.0382,,,0.0307,,0.0262,8.31,0.00871,10,0.134
20,,,,,,0.122,,0.0118,0.00875,0.0146,0.0875,,2.18,1.27,0.608,,,,,,0.0115,0.103,,0.0216,0.159,,,10,0.0181,0.0348,0.122,,0.038,0.0314,,0.0496,0.118,0.129,,,,0.0316,,0.228,,,,0.0246,0.21,,0.151,0.0081,,0.0419,,0.145,0.00561,0.032,0.00826,,0.0834,,0.0115,,,,0.0257,,,,,,,,,,,,,0.00731,,,0.0118,,0.0187,1.65,,10,0.164
21,,,,,,0.433,,,0.0299,0.0439,0.0584,,8.28,1.25,0.569,,,,,,0.0043,,,0.0908,0.554,,,10,0.0205,0.0408,0.442,0.00965,0.0848,0.0989,,0.131,0.417,0.494,,,,0.111,,0.739,,,,,0.146,,,,,,,,0.00855,0.0797,0.0593,,0.087,,0.015,,,,0.0836,,,,,,,,,,,,,0.0271,,,0.0157,,0.0228,4.16,,10,
22,,,,,,0.155,,0.0167,,,0.0498,,1.6,1.65,0.798,,,,,,,,,1.85,0.226,,,10,0.0166,0.0301,0.115,,0.0221,0.0226,,0.0887,0.12,0.137,,,,0.0306,,0.231,,,,,0.11,,,,,0.0113,,,,0.0162,1.16,,0.0793,,,,,,,,,,,,,,,,,,,0.0102,,,0.0117,,0.0214,3.59,,10,
23,,,,0.0211,,1.29,,0.0123,0.0429,0.0429,0.0976,,12.1,1.07,0.533,,,,,,0.00493,0.104,,8.99,1.27,,0.00475,10,0.0286,0.0267,,0.00888,0.0437,,,0.324,0.14,,,0.00734,,0.105,,0.924,,,,,0.115,,,,,0.0257,,,,,4.75,,0.0879,,0.0531,,,,0.0772,,,,,,,,,,,,,0.0241,,,0.014,,0.0185,11.8,0.015,10,0.184
24,,,,,,0.108,,,,,0.0773,,1.94,1.09,0.485,,,,,,,0.0869,,1.71,0.184,,,10,0.00942,0.0327,0.0335,0.00762,0.0145,,,0.0498,0.0298,0.0424,,,0.0028,0.0268,,0.126,,,,,0.0919,,0.114,,0.0134,0.0288,,,,,0.928,,0.0832,,,,,,,,,,,,,,,,,,,0.00606,,,0.0136,,0.0221,2.46,,10,0.151
25,,,,,,0.255,,,0.0101,0.013,0.0554,,2.87,1.08,0.486,,0.0106,,,,0.00744,0.0973,,3.26,0.334,,,10,0.00846,0.0253,0.0983,,0.0222,0.0217,,0.0931,0.0908,0.151,,,0.00171,0.047,,0.281,,,,,0.13,,0.166,,0.0202,0.0507,,0.0215,0.0166,,1.64,,0.0837,,0.0177,,,,0.0166,0.00268,,,,,,,,,,,,0.00771,,,0.0272,,0.0186,4.28,,10,0.155
26,,,,,,0.0569,,0.0182,,0.00522,0.0511,,1.48,0.836,0.358,,,,,,0.00688,0.1,,1.34,0.1,,,10,0.00856,0.0199,0.0125,0.00649,0.00774,,,0.0231,0.0154,0.00918,,,,0.0192,,0.0665,,,,,0.084,,0.217,,,0.0587,,,,,0.733,,0.0861,,,,,,,0.00376,,,,,,,,,,,,0.00632,,,0.0222,,0.0181,1.11,,10,0.183
27,,,,,,0.103,,0.0174,,0.00648,,,1.47,0.825,0.257,,,,,,,,,2.25,0.21,,,10,0.00256,0.0245,0.0517,0.0147,0.0184,0.00959,,0.0499,0.0711,0.0623,,,,0.0329,,0.176,,,,,0.0335,,0.0501,,,0.0135,,0.012,,0.0173,1.12,0.00602,0.0744,,,,,,,,,,,,,,,,,,,0.0122,,,0.0249,,0.0295,2.29,,10,
28,,,,,,0.122,,0.017,0.00411,,0.0278,,2.52,0.918,0.378,,,,,,0.00399,0.0576,,0.851,0.293,,,10,0.00542,0.031,0.0557,0.00623,0.0145,0.0133,,0.0408,0.0697,0.0684,,,,0.0423,,0.176,,,,,0.05,,0.0871,,0.00731,0.0231,,0.00625,0.00459,0.0157,0.499,0.0071,0.0809,,,,,,0.0082,,,,,,,,,,,,,0.00627,,,0.0331,,0.019,1.72,,10,0.113
30,,,,,,0.076,,,,0.00294,,,1.28,0.728,0.249,,,,,,,,,0.405,0.191,,,10,0.00312,0.00674,0.0435,,0.00505,0.011,,0.0269,0.049,0.0463,,,,0.0147,,0.106,,,,,,,0.0368,,,0.0102,,,,0.00637,0.21,,0.0693,,,,,,,,,,,,,,,,,,,,,,0.00707,,0.00696,1.11,,10,
